school_name,athletics_domain
"University at Albany, SUNY",https://ualbanysports.com
Binghamton University,https://binghamtonbearcats.com
Bryant University,https://bryantbulldogs.com
University of New Hampshire,https://unhwildcats.com
New Jersey Institute of Technology,https://njithighlanders.com
University of Massachusetts Lowell,https://goriverhawks.com
"University of Maryland, Baltimore County",https://umbcretrievers.com
University of Vermont,https://uvmathletics.com
University of North Carolina at Charlotte,https://charlotte49ers.com
Florida Atlantic University,https://fausports.com
Florida International University,https://fiusports.com
University of Memphis,https://gotigersgo.com
Missouri State University,https://missouristatebears.com
University of South Florida,https://gousfbulls.com
Temple University,https://owlsports.com
University of Tulsa,https://tulsahurricane.com
University of Alabama at Birmingham,https://uabsports.com
Davidson College,https://davidsonwildcats.com
University of Dayton,https://daytonflyers.com
Duquesne University,https://goduquesne.com
Fordham University,https://fordhamsports.com
George Mason University,https://gomason.com
George Washington University,https://gwsports.com
La Salle University,https://goexplorers.com
Loyola University Chicago,https://loyolaramblers.com
University of Rhode Island,http://gorhody.com
St. Bonaventure University,https://gobonnies.com
Saint Joseph's University,https://sjuhawks.com
Saint Louis University,https://slubillikens.com
Virginia Commonwealth University,https://vcuathletics.com
Boston College,https://bceagles.com
"University of California, Berkeley",https://calbears.com
Clemson University,https://clemsontigers.com
Duke University,https://goduke.com
University of Louisville,https://gocards.com
North Carolina State University,https://gopack.com
University of North Carolina at Chapel Hill,https://goheels.com
University of Notre Dame,https://fightingirish.com
University of Pittsburgh,https://pittsburghpanthers.com
Southern Methodist University,https://smumustangs.com
Stanford University,https://gostanford.com
Syracuse University,https://cuse.com
University of Virginia,https://virginiasports.com
Virginia Polytechnic Instituteand State University,https://hokiesports.com
Wake Forest University,https://godeacs.com
Bellarmine University,https://athletics.bellarmine.edu
University of Central Arkansas,https://ucasports.com
Florida Gulf Coast University,https://fgcuathletics.com
Jacksonville University,https://judolphins.prestosports.com
Lipscomb University,https://lipscombsports.com
University of North Florida,https://unfospreys.com
Queens University of Charlotte,http://queensathletics.com
Stetson University,https://gohatters.com
University of Akron,https://gozips.com
Butler University,https://butlersports.com
Creighton University,https://gocreighton.com
DePaul University,https://depaulbluedemons.com
Georgetown University,https://guhoyas.com
Marquette University,https://gomarquette.com
Providence College,https://friars.com
St. John's University,https://redstormsports.com
Seton Hall University,https://shupirates.com
University of Connecticut,https://uconnhuskies.com
Villanova University,https://villanova.com
Xavier University,https://goxavier.com
Gardner–Webb University,https://gwusports.com
High Point University,https://highpointpanthers.com
Longwood University,https://longwoodlancers.com
Presbyterian College,http://gobluehose.com
Radford University,https://radfordathletics.com
University of North Carolina at Asheville,https://uncabulldogs.com
University of South Carolina Upstate,https://upstatespartans.com
Winthrop University,https://winthropeagles.com
Indiana University Bloomington,https://iuhoosiers.com
"University of Maryland, College Park",https://umterps.com
University of Michigan,https://mgoblue.com
Michigan State University,https://msuspartans.com
Northwestern University,https://nusports.com
Ohio State University,https://ohiostatebuckeyes.com
Pennsylvania State University,https://gopsusports.com
Rutgers University–New Brunswick,https://scarletknights.com
"University of California, Los Angeles",https://uclabruins.com
University of Washington,https://gohuskies.com
University of Wisconsin–Madison,https://uwbadgers.com
"California State University, Bakersfield",https://gorunners.com
"California State University, Fullerton",https://fullertontitans.com
"California State University, Northridge",http://gomatadors.com
"California State University, Sacramento",https://hornetsports.com
"University of California, Irvine",https://ucirvinesports.com
"University of California, Santa Barbara",http://ucsbgauchos.com
Utah Valley University,https://gouvu.com
Campbell University,https://gocamels.com
College of Charleston,http://cofcsports.com
Drexel University,https://drexeldragons.com
Elon University,https://elonphoenix.com
Hofstra University,https://gohofstra.com
Monmouth University,https://monmouthhawks.com
Northeastern University,https://nuhuskies.com
Stony Brook University,https://stonybrookathletics.com
University of North Carolina Wilmington,https://uncwsports.com
College of William & Mary,https://tribeathletics.com
Cleveland State University,https://csuvikings.com
University of Detroit Mercy,https://detroittitans.com
University of Wisconsin–Green Bay,https://greenbayphoenix.com
Indiana University Indianapolis,https://iuindyjags.com
University of Wisconsin–Milwaukee,https://mkepanthers.com
Northern Illinois University,https://niuhuskies.com
Northern Kentucky University,https://nkunorse.com
Oakland University,https://goldengrizzlies.com
Purdue University Fort Wayne,http://gomastodons.com
Robert Morris University,https://rmucolonials.com
Wright State University,https://wsuraiders.com
Brown University,https://brownbears.com
Columbia University,https://gocolumbialions.com
Cornell University,https://cornellbigred.com
Dartmouth College,https://dartmouthsports.com
Harvard University,https://gocrimson.com
Princeton University,https://goprincetontigers.com
University of Pennsylvania,https://pennathletics.com
Yale University,https://yalebulldogs.com
Canisius University,http://gogriffs.com
Fairfield University,https://fairfieldstags.com
Iona University,https://ionagaels.com
Manhattan University,https://gojaspers.com
Marist University,https://goredfoxes.com
Merrimack College,https://merrimackathletics.com
Mount St. Mary's University,https://mountathletics.com
Niagara University,https://purpleeagles.com
Quinnipiac University,https://gobobcats.com
Rider University,https://gobroncs.com
Sacred Heart University,https://sacredheartpioneers.com
Saint Peter's University,https://saintpeterspeacocks.com
Siena University,https://sienasaints.com
Belmont University,https://belmontbruins.com
Bowling Green State University,https://bgsufalcons.com
Bradley University,https://bradleybraves.com
Drake University,https://godrakebulldogs.com
University of Evansville,https://gopurpleaces.com
University of Illinois Chicago,https://uicflames.com
Western Michigan University,https://wmubroncos.com
United States Air Force Academy,https://goairforcefalcons.com
Grand Canyon University,https://gculopes.com
San Jose State University,https://sjsuspartans.com
"University of California, Davis",https://ucdavis.edu
"University of Nevada, Las Vegas",https://unlvrebels.com
Utah Tech University,https://utahtechtrailblazers.com
Central Connecticut State University,https://ccsubluedevils.com
Chicago State University,https://gocsucougars.com
Fairleigh Dickinson University,https://fduknights.com
Howard University,https://hubison.com
Le Moyne College,https://lemoynedolphins.com
Long Island University,https://liuathletics.com
Mercyhurst University,http://hurstathletics.com
University of New Haven,https://newhavenchargers.com
Stonehill College,https://stonehillskyhawks.com
Eastern Illinois University,https://eiupanthers.com
Houston Christian University,https://hcuhuskies.com
University of the Incarnate Word,http://uiwcardinals.com
Lindenwood University,http://lindenwoodlions.com
Southern Illinois University Edwardsville,https://siuecougars.com
University of Southern Indiana,https://usiscreamingeagles.com
University of Texas Rio Grande Valley,https://goutrgv.com
Western Illinois University,https://goleathernecks.com
California Baptist University,http://cbulancers.com
"California Polytechnic State University, San Luis Obispo",https://gopoly.com
Gonzaga University,https://gozags.com
Oregon State University,https://osubeavers.com
San Diego State University,https://goaztecs.com
"University of California, Riverside",https://gohighlanders.com
"University of California, San Diego",https://ucsdtritons.com
American University,https://aueagles.com
United States Military Academy,https://goarmywestpoint.com
Boston University,https://goterriers.com
Bucknell University,https://bucknellbison.com
Colgate University,https://colgateathletics.com
College of the Holy Cross,https://goholycross.com
Lafayette College,https://goleopards.com
Lehigh University,https://lehighsports.com
Loyola University Maryland,https://loyolagreyhounds.com
United States Naval Academy,https://navysports.com
East Tennessee State University,https://etsubucs.com
Furman University,https://furmanpaladins.com
Liberty University,https://libertyflames.com
Mercer University,https://mercerbears.com
University of North Carolina at Greensboro,https://uncgspartans.com
Virginia Military Institute,https://vmikeydets.com
Wofford College,https://woffordterriers.com
University of Delaware,https://bluehens.com
University of Missouri–Kansas City,https://kcroos.com
University of Nebraska Omaha,https://omavs.com
Oral Roberts University,https://oruathletics.com
University of St. Thomas,https://tommiesports.com
University of Massachusetts Amherst,https://umassathletics.com
Coastal Carolina University,https://goccusports.com
Georgia Southern University,https://gseagles.com
Georgia State University,https://georgiastatesports.com
James Madison University,https://jmusports.com
University of Kentucky,https://ukathletics.com
Marshall University,https://herdzone.com
Old Dominion University,https://odusports.com
University of South Carolina,https://gamecocksonline.com
University of Central Florida,https://ucfknights.com
West Virginia University,https://wvusports.com
University of Denver,https://denverpioneers.com
Loyola Marymount University,https://lmulions.com
University of the Pacific,https://pacifictigers.com
University of Portland,https://portlandpilots.com
Saint Mary's College of California,https://smcgaels.com
University of San Diego,https://usdtoreros.com
University of San Francisco,https://usfdons.com
Santa Clara University,https://santaclarabroncos.com
Seattle University,https://goseattleu.com
