short_name,school_name,athletics_domain
Abilene Christian,Abilene Christian,https://acuwildcats.com
Air Force,United States Air Force Academy,https://goairforcefalcons.com
Akron,University of Akron,https://gozips.com
Alabama,University of Alabama at Birmingham,https://uabsports.com
Alabama A&M,University of Alabama at Birmingham,https://uabsports.com
Alabama State,University of Alabama at Birmingham,https://uabsports.com
Albany,"University at Albany, SUNY",https://ualbanysports.com
Alcorn State,Alcorn State,https://alcornsports.com
American,American University,https://aueagles.com
Appalachian State,Appalachian State,https://appstatesports.com
Arizona,Arizona,https://arizonawildcats.com
Arizona State,Arizona State,https://thesundevils.com
Arkansas,University of Central Arkansas,https://ucasports.com
Arkansas State,University of Central Arkansas,https://ucasports.com
Arkansas–Pine Bluff,Arkansas–Pine Bluff,https://uapblionsroar.com
Army,Army,https://goarmywestpoint.com
Auburn,Auburn,https://auburntigers.com
Austin Peay,Austin Peay,https://letsgopeay.com
Ball State,Ball State,https://ballstatesports.com
Baylor,Baylor,https://baylorbears.com
Bellarmine,Bellarmine University,https://athletics.bellarmine.edu
Belmont,Belmont University,https://belmontbruins.com
Binghamton,Binghamton University,https://binghamtonbearcats.com
Boise State,Boise State,https://broncosports.com
Boston College,Boston College,https://bceagles.com
Boston University,Boston University,https://goterriers.com
Bowling Green,Bowling Green State University,https://bgsufalcons.com
Brown,Brown University,https://brownbears.com
Bryant,Bryant University,https://bryantbulldogs.com
Bucknell,Bucknell University,https://bucknellbison.com
Buffalo,Buffalo,https://ubathletics.com
Butler,Butler University,https://butlersports.com
BYU,BYU,https://byucougars.com
Cal Poly,Cal Poly,https://gopoly.com
Cal State Bakersfield,Cal State Bakersfield,https://gorunners.com
Cal State Fullerton,Cal State Fullerton,https://fullertontitans.com
Cal State Northridge,Cal State Northridge,https://gomatadors.com
California,California,https://calbears.com
California Baptist,California Baptist University,http://cbulancers.com
Campbell,Campbell University,https://gocamels.com
Canisius,Canisius University,http://gogriffs.com
Central Arkansas,University of Central Arkansas,https://ucasports.com
Central Connecticut,Central Connecticut,https://ccsubluedevils.com
Central Michigan,Central Michigan,https://cmuchippewas.com
Charleston,College of Charleston,http://cofcsports.com
Charleston Southern,College of Charleston,http://cofcsports.com
Charlotte,Charlotte,https://charlotte49ers.com
Chattanooga,Chattanooga,https://gomocs.com
Chicago State,Chicago State University,https://gocsucougars.com
Cincinnati,Cincinnati,https://gobearcats.com
Clemson,Clemson,https://clemsontigers.com
Cleveland State,Cleveland State University,https://csuvikings.com
Coastal Carolina,Coastal Carolina University,https://goccusports.com
Colgate,Colgate University,https://colgateathletics.com
Colorado,Colorado,https://cubuffs.com
Colorado College,Colorado College,https://coloradocollege.edu
Colorado State,Colorado State,https://csurams.com
Columbia,Columbia University,https://gocolumbialions.com
Cornell,Cornell University,https://cornellbigred.com
Creighton,Creighton University,https://gocreighton.com
Dartmouth,Dartmouth College,https://dartmouthsports.com
Davidson,Davidson College,https://davidsonwildcats.com
Dayton,University of Dayton,https://daytonflyers.com
Delaware,University of Delaware,https://bluehens.com
Delaware State,University of Delaware,https://bluehens.com
Denver,University of Denver,https://denverpioneers.com
DePaul,DePaul University,https://depaulbluedemons.com
Detroit Mercy,University of Detroit Mercy,https://detroittitans.com
