school_name,conference,region,state,division,program_url,ncaa_id
"University at Albany, SUNY",America East,Northeast,NY,D1,https://ualbanysports.com/sports/mens-soccer/roster,
Binghamton University,America East,Northeast,NY,D1,https://binghamtonbearcats.com/sports/mens-soccer/roster,
Bryant University,America East,Northeast,RI,D1,https://bryantbulldogs.com/sports/mens-soccer/roster,
University of New Hampshire,America East,Northeast,NH,D1,https://unhwildcats.com/sports/mens-soccer/coaches,
New Jersey Institute of Technology,America East,Northeast,NJ,D1,https://njithighlanders.com/sports/mens-soccer/roster,
University of Massachusetts Lowell,America East,Northeast,MA,D1,https://goriverhawks.com/sports/mens-soccer/roster,
"University of Maryland, Baltimore County",America East,Southeast,MD,D1,https://umbcretrievers.com/sports/mens-soccer/roster,
University of Vermont,America East,Northeast,VT,D1,https://uvmathletics.com/sports/mens-soccer/roster,
University of North Carolina at Charlotte,American Conference,Southeast,NC,D1,https://charlotte49ers.com/sports/mens-soccer/coaches,
Florida Atlantic University,American Conference,Southeast,FL,D1,https://fausports.com/sports/mens-soccer/coaches,
Florida International University,American Conference,Southeast,FL,D1,https://fiusports.com/sports/mens-soccer/roster,
University of Memphis,American Conference,Southeast,TN,D1,https://gotigersgo.com/sports/mens-soccer/coaches,
Missouri State University,American Conference,Midwest,MO,D1,https://missouristatebears.com/sports/mens-soccer/coaches,
University of South Florida,American Conference,Southeast,FL,D1,https://gousfbulls.com/sports/mens-soccer/roster,
Temple University,American Conference,Northeast,PA,D1,https://owlsports.com/sports/mens-soccer/coaches,
University of Tulsa,American Conference,Southwest,OK,D1,https://tulsahurricane.com/sports/mens-soccer/coaches,
University of Alabama at Birmingham,American Conference,Southeast,AL,D1,https://uabsports.com/sports/mens-soccer/coaches,
Davidson College,Atlantic 10,Southeast,NC,D1,https://davidsonwildcats.com/sports/mens-soccer/coaches,
University of Dayton,Atlantic 10,Midwest,OH,D1,https://daytonflyers.com/sports/mens-soccer/roster,
Duquesne University,Atlantic 10,Northeast,PA,D1,https://goduquesne.com/sports/mens-soccer/roster,
Fordham University,Atlantic 10,Northeast,NY,D1,https://fordhamsports.com/sports/mens-soccer/roster,
George Mason University,Atlantic 10,Southeast,VA,D1,,
George Washington University,Atlantic 10,,,D1,https://gwsports.com/sports/mens-soccer/coaches,
La Salle University,Atlantic 10,Northeast,PA,D1,https://goexplorers.com/sports/mens-soccer/roster,
Loyola University Chicago,Atlantic 10,Midwest,IL,D1,https://loyolaramblers.com/sports/mens-soccer/roster,
University of Rhode Island,Atlantic 10,Northeast,RI,D1,http://gorhody.com/sports/mens-soccer/roster,
St. Bonaventure University,Atlantic 10,Northeast,NY,D1,https://gobonnies.com/sports/mens-soccer/roster,
Saint Joseph's University,Atlantic 10,Northeast,PA,D1,https://sjuhawks.com/sports/mens-soccer/roster,
Saint Louis University,Atlantic 10,Midwest,MO,D1,https://slubillikens.com/sports/mens-soccer/roster,
Virginia Commonwealth University,Atlantic 10,Southeast,VA,D1,https://vcuathletics.com/sports/mens-soccer/roster,
Boston College,ACC,Northeast,MA,D1,https://bceagles.com/sports/mens-soccer/coaches,
"University of California, Berkeley",ACC,West,CA,D1,https://calbears.com/sports/mens-soccer/roster,
Clemson University,ACC,Southeast,SC,D1,,
Duke University,ACC,Southeast,NC,D1,https://goduke.com/sports/mens-soccer/coaches,
University of Louisville,ACC,Southeast,KY,D1,https://gocards.com/sports/mens-soccer/coaches,
North Carolina State University,ACC,Southeast,NC,D1,https://gopack.com/sports/mens-soccer/coaches,
University of North Carolina at Chapel Hill,ACC,Southeast,NC,D1,https://goheels.com/sports/mens-soccer/coaches,
University of Notre Dame,ACC,Midwest,IN,D1,https://fightingirish.com/sports/msoc/roster,
University of Pittsburgh,ACC,Northeast,PA,D1,,
Southern Methodist University,ACC,Southwest,TX,D1,https://smumustangs.com/sports/mens-soccer/roster,
Stanford University,ACC,West,CA,D1,,
Syracuse University,ACC,Northeast,NY,D1,https://cuse.com/sports/mens-soccer/coaches,
University of Virginia,ACC,Southeast,VA,D1,,
Virginia Polytechnic Institute and State University,ACC,Southeast,VA,D1,https://hokiesports.com/sports/mens-soccer/roster,
Wake Forest University,ACC,Southeast,NC,D1,https://godeacs.com/sports/mens-soccer/coaches,
Bellarmine University,ASUN,Southeast,KY,D1,https://athletics.bellarmine.edu/sports/mens-soccer/roster,
University of Central Arkansas,ASUN,,AR,D1,https://ucasports.com/sports/mens-soccer/roster,
Florida Gulf Coast University,ASUN,Southeast,FL,D1,https://fgcuathletics.com/sports/mens-soccer/roster,
Jacksonville University,ASUN,Southeast,FL,D1,,
Lipscomb University,ASUN,Southeast,TN,D1,https://lipscombsports.com/sports/mens-soccer/coaches,
University of North Florida,ASUN,Southeast,FL,D1,https://unfospreys.com/sports/mens-soccer/coaches,
Queens University of Charlotte,ASUN,Southeast,NC,D1,,
Stetson University,ASUN,Southeast,FL,D1,https://gohatters.com/sports/mens-soccer/roster,
University of Akron,Big East,Midwest,OH,D1,https://gozips.com/sports/mens-soccer/coaches,
Butler University,Big East,Midwest,IN,D1,https://butlersports.com/sports/mens-soccer/roster,
Creighton University,Big East,Midwest,NE,D1,https://gocreighton.com/sports/mens-soccer/coaches,
DePaul University,Big East,Midwest,IL,D1,https://depaulbluedemons.com/sports/mens-soccer/coaches,
Georgetown University,Big East,,,D1,https://guhoyas.com/sports/mens-soccer/roster,
Marquette University,Big East,Midwest,WI,D1,https://gomarquette.com/sports/mens-soccer/coaches,
Providence College,Big East,Northeast,RI,D1,https://friars.com/sports/mens-soccer/coaches,
St. John's University,Big East,Northeast,NY,D1,https://redstormsports.com/sports/mens-soccer/coaches,
Seton Hall University,Big East,Northeast,NJ,D1,https://shupirates.com/sports/mens-soccer/coaches,
University of Connecticut,Big East,Northeast,CT,D1,https://uconnhuskies.com/sports/mens-soccer/coaches,
Villanova University,Big East,Northeast,PA,D1,https://villanova.com/sports/mens-soccer/roster,
Xavier University,Big East,Midwest,OH,D1,https://goxavier.com/sports/mens-soccer/coaches,
Gardner-Webb University,Big South Conference,Southeast,NC,D1,https://gwusports.com/sports/mens-soccer/coaches,
High Point University,Big South Conference,Southeast,NC,D1,https://highpointpanthers.com/sports/mens-soccer/roster,
Longwood University,Big South Conference,Southeast,VA,D1,https://longwoodlancers.com/sports/mens-soccer/roster,
Presbyterian College,Big South Conference,Southeast,SC,D1,http://gobluehose.com/sports/mens-soccer/roster,
Radford University,Big South Conference,Southeast,VA,D1,https://radfordathletics.com/sports/mens-soccer/coaches,
University of North Carolina at Asheville,Big South Conference,Southeast,NC,D1,https://uncabulldogs.com/sports/mens-soccer/coaches,
University of South Carolina Upstate,Big South Conference,Southeast,SC,D1,https://upstatespartans.com/sports/mens-soccer/coaches,
Winthrop University,Big South Conference,Southeast,SC,D1,https://winthropeagles.com/sports/mens-soccer/roster,
Indiana University Bloomington,Big Ten,Midwest,IN,D1,https://iuhoosiers.com/sports/mens-soccer/coaches,
"University of Maryland, College Park",Big Ten,Southeast,MD,D1,https://umterps.com/sports/mens-soccer/coaches,
University of Michigan,Big Ten,Midwest,MI,D1,https://mgoblue.com/sports/mens-soccer/coaches,
Michigan State University,Big Ten,Midwest,MI,D1,https://msuspartans.com/sports/mens-soccer/coaches,
Northwestern University,Big Ten,Midwest,IL,D1,https://nusports.com/sports/mens-soccer/coaches,
Ohio State University,Big Ten,Midwest,OH,D1,https://ohiostatebuckeyes.com/sports/mens-soccer/coaches,
Pennsylvania State University,Big Ten,Northeast,PA,D1,,
Rutgers University-New Brunswick,Big Ten,Northeast,NJ,D1,https://scarletknights.com/sports/mens-soccer/coaches,
"University of California, Los Angeles",Big Ten,West,CA,D1,https://uclabruins.com/sports/mens-soccer/coaches,
University of Washington,Big Ten,West,WA,D1,https://gohuskies.com/sports/mens-soccer/coaches,
University of Wisconsin-Madison,Big Ten,Midwest,WI,D1,https://uwbadgers.com/sports/mens-soccer/coaches,
"California State University, Bakersfield",Big West,West,CA,D1,https://gorunners.com/sports/mens-soccer/roster,
