school_name,conference,region,state,division,gender,program_url,ncaa_id
Abilene Christian,UAC[a],,,D1,W,,
Air Force,Mountain West,,,D1,W,https://goairforcefalcons.com/sports/womens-soccer/coaches,
Akron,MAC,,,D1,W,https://gozips.com/sports/womens-soccer/coaches,
Alabama,SEC,,,D1,W,https://uabsports.com/sports/womens-soccer/coaches,
Alabama A&M,SWAC,,,D1,W,https://uabsports.com/sports/womens-soccer/coaches,
Alabama State,SWAC,,,D1,W,https://uabsports.com/sports/womens-soccer/coaches,
Albany,America East,,,D1,W,https://ualbanysports.com/sports/womens-soccer/roster,
Alcorn State,SWAC,,,D1,W,https://alcornsports.com/sports/womens-soccer/roster,
American,Patriot,,,D1,W,https://aueagles.com/sports/womens-soccer/roster,
Appalachian State,Sun Belt,,,D1,W,https://appstatesports.com/sports/womens-soccer/roster,
Arizona,Big 12,,,D1,W,https://arizonawildcats.com/sports/womens-soccer/roster,
Arizona State,Big 12,,,D1,W,,
Arkansas,SEC,,,D1,W,https://ucasports.com/sports/womens-soccer/roster,
Arkansas State,Sun Belt,,,D1,W,https://ucasports.com/sports/womens-soccer/roster,
Arkansas–Pine Bluff,SWAC,,,D1,W,https://uapblionsroar.com/sports/womens-soccer/roster,
Army,Patriot,,,D1,W,https://goarmywestpoint.com/sports/womens-soccer/coaches,
Auburn,SEC,,,D1,W,,
Austin Peay,UAC,,,D1,W,,
Ball State,MAC,,,D1,W,https://ballstatesports.com/sports/womens-soccer/coaches,
Baylor,Big 12,,,D1,W,https://baylorbears.com/sports/womens-soccer/coaches,
Bellarmine,ASUN,,,D1,W,https://athletics.bellarmine.edu/sports/womens-soccer/roster,
Belmont,Missouri Valley,,,D1,W,https://belmontbruins.com/sports/womens-soccer/roster,
Binghamton,America East,,,D1,W,https://binghamtonbearcats.com/sports/womens-soccer/roster,
Boise State,Pac-12,,,D1,W,https://broncosports.com/sports/womens-soccer/coaches,
Boston College,ACC,,,D1,W,https://bceagles.com/sports/womens-soccer/coaches,
Boston University,Patriot,,,D1,W,https://goterriers.com/sports/womens-soccer/coaches,
Bowling Green,MAC,,,D1,W,https://bgsufalcons.com/sports/womens-soccer/coaches,
Brown,Ivy League,,,D1,W,https://brownbears.com/sports/womens-soccer/coaches,
Bryant,America East,,,D1,W,https://bryantbulldogs.com/sports/womens-soccer/roster,
Bucknell,Patriot,,,D1,W,https://bucknellbison.com/sports/womens-soccer/coaches,
Buffalo,MAC,,,D1,W,,
Butler,Big East,,,D1,W,https://butlersports.com/sports/womens-soccer/roster,
BYU,Big 12,,,D1,W,,
Cal Poly,Big West,,,D1,W,https://gopoly.com/sports/womens-soccer/coaches,
Cal State Bakersfield,Big West,,,D1,W,https://gorunners.com/sports/womens-soccer/roster,
Cal State Fullerton,Big West,,,D1,W,https://fullertontitans.com/sports/womens-soccer/roster,
Cal State Northridge,Big West,,,D1,W,https://gomatadors.com/sports/womens-soccer/coaches,
California,ACC,,,D1,W,https://calbears.com/sports/womens-soccer/roster,
California Baptist,Big West,,,D1,W,http://cbulancers.com/sports/womens-soccer/coaches,
Campbell,CAA,,,D1,W,https://gocamels.com/sports/womens-soccer/roster,
Canisius,Metro Atlantic,,,D1,W,http://gogriffs.com/sports/womens-soccer/roster,
Central Arkansas,UAC,,,D1,W,https://ucasports.com/sports/womens-soccer/roster,
Central Connecticut,NEC,,,D1,W,,
Central Michigan,MAC,,,D1,W,https://cmuchippewas.com/sports/womens-soccer/coaches,
Charleston,CAA,,,D1,W,http://cofcsports.com/sports/womens-soccer/coaches,
Charleston Southern,Big South,,,D1,W,http://cofcsports.com/sports/womens-soccer/coaches,
